1|AutoExpect|autoexpect watches you interacting with another program and creates an Expect script that reproduces your interactions. Useful when creating scripts|http://expect.sourceforge.net/example/autoexpect.man.html|autoexpect|expect|scripts|2020-12-17 19:51:01
3|A brief introduction to GPG |What it says on the title|https://loganmarchione.com/2015/12/brief-introduction-gpg/#Generate_a_key_pair|gpg|gnupg|keys|2020-12-17 20:15:55
4|How to configure Backblaze B2 with Duplicity on Linux|How to configure Backblaze with Duplicity. Better explained|https://help.backblaze.com/hc/en-us/articles/115001518354-How-to-configure-Backblaze-B2-with-Duplicity-on-Linux|backblaze|duplicity|backups|2020-12-17 20:17:29
5|Crontab Guru|Site to help write cron dates|https://crontab.guru|cron|cronie|crontab|2020-12-17 20:18:15
6|Append Current Date To Filename in Bash Shell|How to use date function in other contexts|https://www.cyberciti.biz/faq/unix-linux-appleosx-bsd-shell-appending-date-to-filename/|date|filename|scripts|2020-12-17 20:20:15
7|Easy Incremental Backups With Tar|How to use tar to backup your computer|https://www.agix.com.au/easy-incremental-backups-with-tar-on-centos-redhat/|tar|backup|incremental|2020-12-17 20:21:15
8|Automated Clonezilla Backup/Restore|How to automate clonezilla backup/restore|https://whatthefdidido.wordpress.com/2016/05/04/automated-clonezilla-backuprestore/|clonezilla|backup|restore|2020-12-17 20:22:05
9|Trending vim color schemes|Vim ColorSchemes|https://vimcolorschemes.com/|vim|color|colorschemes|2020-12-17 20:24:50
10|ASCII Generator|Make pretty titles for cli apps|http://www.network-science.de/ascii/|ascii|cli|decorations|2020-12-17 20:27:23
11|ButterBlog|List of Streaming Sites|https://blog.buttermouth.com/|butter|butterblog|streaming|2020-12-17 20:28:09
12|Short URL|ShortURL.at is a free tool to shorten a URL or reduce a link|https://www.shorturl.at/|url|url shortener|shortener|2020-12-17 20:37:13
13|Clonezilla documentation|Clonezilla Live documentation|shorturl.at/ayBLT|clonezilla|live|documentation|2020-12-17 20:38:49
14|Good Python SQLite3 Tutorial|The purpose of this Python SQLite tutorial is to demonstrate how to develop Python database applications with the SQLite database. |https://pynative.com/python-sqlite/|sqlite|python|tutorial|2020-12-17 20:56:01
16|SQLite Tutorial|A pure SQLite only tutorial|https://www.tutorialspoint.com/sqlite/index.htm|sqlite|tutorial|db|2020-12-17 21:05:42
17|Snap Store|Place to Download Snaps|https://snapcraft.io/store|snaps|snap|downloads|2020-12-18 01:25:18
18|Deezer|Audio Streaming Site|https://www.deezer.com|deezer|streaming|music|2020-12-18 05:13:31
19|See glyphs in font|Online service to visualize content of font|https://torinak.com/font/lsfont.html#|font|glyphs|visualize|2020-12-18 19:26:19
20|Machine Learning from Scratch|"A complete guide on how to start learning machine learning (ML), artificial intelligence (AI) in 2021 without ANY background in the field."|https://github.com/louisfb01/start-machine-learning-in-2020|ml|machine learning|ai|2021-01-01 18:43:56
21|Sci-Hub|Pirated Scientific Papers|https://sci-hub.se/|paper|science|pirate|2021-01-04 15:51:16
22|Library Genesis|Pirated Books|http://libgen.is/\
|pirate|books|ebooks|2021-01-07 19:53:12
23|ManyBooks|Pirated Books|https://manybooks.net/|pirate|books|ebooks|2021-01-07 19:55:54
24|Zlibrary|Pirated Books|https://b-ok.cc/|pirate|books|ebooks|2021-01-07 20:02:09
25|Tresorit Cli|Explicação do cli da Tresorit|https://support.tresorit.com/hc/en-us/articles/360009330614-Using-Tresorit-CLI-for-Linux|tresorit|Tresorit|cli|2021-01-07 21:52:58
26|Dive Into Deep Learning|Intro to Deep Learning|https://d2l.ai|ai|machine learning|deep|2021-01-08 02:35:09
27|Numpy Quick Start|Intro to Numpy|https://numpy.org/devdocs/user/quickstart.html#basic-operations|numpy|intro|arrays|2021-01-08 10:00:04
28|Bitly URL Shortener|URL Shortener|https://bitly.com/|shortener|url shortener|bitly|2021-01-09 02:06:45
29|Python Data Science Handbook Online|Online version of the book|https://jakevdp.github.io/PythonDataScienceHandbook/|data science|ml|python|2021-01-09 02:58:18
30|Numpy Exercises Python|Set of numpy exercises|https://www.machinelearningplus.com/python/101-numpy-exercises-python/|numpy|ml|exercises|2021-01-09 03:04:42
31|O meu ficheiro no Colab|Colab é um Jupyter Notebooks só que muito melhor|https://colab.research.google.com/drive/1OSnjbSFSBlbrwPe3zlGTbIiBZjFDynEG#scrollTo=hJfrOw9Y0Nrw|colab|jupyter|ml|2021-01-09 03:06:41
32|Intro to Machine Learning|Pequenissimo curso que quero fazer daqui a uns tempos|https://www.kaggle.com/learn/intro-to-machine-learning|ml|curso|course|2021-01-09 03:08:58
